Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2011-12-01	21.37	29.00	25.24	23.29	27.20
2011-11-01	11.13	29.85	24.22	18.97	29.48
2011-10-01	14.37	31.51	26.27	21.46	31.08
2011-09-01	10.34	31.41	23.89	17.05	30.74
2011-08-01	21.76	29.55	24.88	21.57	28.19
2011-07-01	0.00	0.00	0.00	0.00	0.00
2011-06-01	25.08	25.08	25.08	25.08	25.08
2011-05-01	22.47	33.41	28.61	24.87	32.35
2011-04-01	2.25	34.57	16.28	3.67	28.88
2011-03-01	16.27	36.13	31.50	28.24	34.76
2011-02-01	22.53	32.32	27.59	25.20	29.98
2011-01-01	15.41	28.53	24.71	21.36	28.06
2010-12-01	21.37	29.00	25.24	23.29	27.20
2010-11-01	11.13	29.85	24.22	18.97	29.48
2010-10-01	14.37	31.51	26.27	21.46	31.08
2010-09-01	10.34	31.41	23.89	17.05	30.74
2010-08-01	21.76	29.55	24.88	21.57	28.19
2010-07-01	0.00	0.00	0.00	0.00	0.00
2010-06-01	25.08	25.08	25.08	25.08	25.08
2010-05-01	22.47	33.41	28.61	24.87	32.35
2010-04-01	2.25	34.57	16.28	3.67	28.88
2010-03-01	16.27	36.13	31.50	28.24	34.76
2010-02-01	22.53	32.32	27.59	25.20	29.98
2010-01-01	15.41	28.53	24.71	21.36	28.06
2009-12-01	21.37	29.00	25.24	23.29	27.20
2009-11-01	11.13	29.85	24.22	18.97	29.48
2009-10-01	14.37	31.51	26.27	21.46	31.08
2009-09-01	10.34	31.41	23.89	17.05	30.74
2009-08-01	21.76	29.55	24.88	21.57	28.19
2009-07-01	0.00	0.00	0.00	0.00	0.00
2009-06-01	25.08	25.08	25.08	25.08	25.08
2009-05-01	22.47	33.41	28.61	24.87	32.35
2009-04-01	2.25	34.57	16.28	3.67	28.88
2009-03-01	16.27	36.13	31.50	28.24	34.76
2009-02-01	22.53	32.32	27.59	25.20	29.98
2009-01-01	15.41	28.53	24.71	21.36	28.06
2008-12-01	21.37	29.00	25.24	23.29	27.20
2008-11-01	11.13	29.85	24.22	18.97	29.48
