Date	Temperature
2018-01-20	27.55
2018-01-20	27.55
2018-01-20	27.55
2018-01-20	27.55
2018-02-05	27.77
2018-02-05	27.77
2018-02-05	27.77
2018-02-05	27.77
2018-11-04	26.77
2018-11-04	26.77
2018-11-04	26.77
2018-11-04	26.77
2018-12-06	23.56
2018-12-06	23.56
2018-12-06	23.56
2018-12-06	23.56
2018-12-22	24.57
2018-12-22	24.57
2018-12-22	24.57
2018-12-22	24.57
2019-01-07	27.79
2019-01-07	27.79
2019-01-07	27.79
2019-01-07	27.79
2019-02-24	32.58
2019-02-24	32.58
2019-02-24	32.58
2019-02-24	32.58
2019-03-12	32.93
2019-03-12	32.93
2019-03-12	32.93
2019-03-12	32.93
2019-03-28	34.62
2019-03-28	34.62
2019-03-28	34.62
2019-03-28	34.62
2019-09-20	24.37
2019-09-20	24.37
2019-09-20	24.37
2019-10-22	14.39
2019-10-22	14.39
2019-10-22	14.39
2019-11-23	24.84
2019-11-23	24.84
2019-11-23	24.84
2019-11-23	24.84
2019-12-09	27.97
2019-12-09	27.97
2019-12-09	27.97
2019-12-09	27.97
2019-12-25	26.04
2019-12-25	26.04
2019-12-25	26.04
2019-12-25	26.04
2020-01-10	28.9
2020-01-10	28.9
2020-01-10	28.9
2020-01-10	28.9
2020-01-26	29.46
2020-01-26	29.46
2020-01-26	29.46
2020-01-26	29.46
2020-02-11	32.92
2020-02-11	32.92
2020-02-11	32.92
2020-02-11	32.92
2020-03-14	33.87
2020-03-14	33.87
2020-03-14	33.87
2020-03-14	33.87
2020-03-30	34.62
2020-03-30	34.62
2020-03-30	34.62
2020-03-30	34.62
2020-04-15	30.54
2020-04-15	30.54
2020-04-15	30.54
2020-07-20	22.03
2020-07-20	22.03
2020-07-20	22.03
2020-11-25	9.55
2020-11-25	9.55
2020-11-25	9.55
2020-11-25	9.55
2020-12-11	28.75
2020-12-11	28.75
2020-12-11	28.75
2020-12-11	28.75
2021-02-13	29.37
2021-02-13	29.37
2021-02-13	29.37
2021-02-13	29.37
2021-03-01	32.09
2021-03-01	32.09
2021-03-01	32.09
2021-03-01	32.09
2021-03-17	30.94
2021-03-17	30.94
2021-03-17	30.94
2021-03-17	30.94
2021-06-05	9.15
2021-06-05	9.15
2021-06-05	9.15
2021-06-05	9.15
2021-12-14	25.47
2021-12-14	25.47
2021-12-14	25.47
2021-12-14	25.47
2021-12-30	25.82
2021-12-30	25.82
2021-12-30	25.82
2021-12-30	25.82
2022-01-15	27.51
2022-01-15	27.51
2022-01-15	27.51
2022-01-15	27.51
2022-06-08	24.7
2022-06-08	24.7
2022-06-08	24.7
2022-06-08	24.7
2022-08-27	20.29
2022-08-27	20.29
2022-08-27	20.29
2023-01-02	26.99
2023-01-02	26.99
2023-01-02	26.99
2023-01-02	26.99
2023-01-18	29.27
2023-01-18	29.27
2023-01-18	29.27
2023-01-18	29.27
2023-02-19	28.65
2023-02-19	28.65
2023-02-19	28.65
2023-02-19	28.65
2023-03-07	29.39
2023-03-07	29.39
2023-03-07	29.39
2023-03-07	29.39
