date,evaporation (mm)
2017-02-10,4.705436839105472
2017-02-11,4.565057461000194
2017-02-12,5.334529588934428
2017-02-13,5.360415452261576
2017-02-14,5.592344208769585
2017-02-15,5.414222404548307
2017-02-16,5.599589909330167
2017-02-17,5.201980497760434
2017-02-18,4.749184421145144
2017-02-19,3.8527696104492506
2017-02-20,5.574954081353479
2017-02-21,4.796185170441056
2017-02-22,4.657855210183153
2017-02-23,4.884565961498161
2017-02-24,4.740918047684184
2017-02-25,4.812047147435759
2017-02-26,4.448794983059707
2017-02-27,5.0731038577163
2017-02-28,5.489380926189686
2017-03-01,4.187222423706648
2017-03-02,5.289989365157912
2017-03-03,4.266904531821633
2017-03-04,3.071060534401317
2017-03-05,4.549356157208397
2017-03-06,4.715987702297528
2017-03-07,4.851168624028606
2017-03-08,4.7518523779245525
2017-03-09,5.182682604974269
2017-03-10,5.140231499352486
2017-03-11,5.520936364622563
2017-03-12,5.545663625336145
2017-03-13,5.464625014162367
2017-03-14,4.764350969343186
2017-03-15,3.604405062692379
2017-03-16,2.810958830699477
2017-03-17,5.394822268863989
2017-03-18,5.505778043374971
2017-03-19,5.418647804184197
2017-03-20,5.51486692806504
2017-03-21,3.713822733741607
2017-03-22,3.834498802155141
2017-03-23,5.277689215236777
2017-03-24,5.425307985232263
2017-03-25,5.49992926114554
2017-03-26,5.18125594099711
2017-03-27,4.473043302987136
2017-03-28,5.519939042804014
2017-03-29,5.620954010120046
2017-03-30,5.711849549654142
2017-03-31,5.856043085971985
2017-04-01,5.767856686935301
2017-04-02,5.719718196691429
2017-04-03,4.720998357481242
2017-04-04,4.40635013232186
2017-04-05,4.11576269240432
2017-04-06,4.350786954185264
2017-04-07,4.258714858882572
2017-04-08,4.250744857416972
2017-04-09,4.1866204993171205
2017-04-10,4.297267748820977
2017-04-11,4.008165725761645
2017-04-12,5.215230652451545
2017-04-13,3.936443828259408
2017-04-14,5.238429679522161
2017-04-15,5.49092343505751
2017-04-16,5.106949019628881
2017-04-17,5.463037332698444
2017-04-18,5.734331519615196
2017-04-19,4.340078772511327
2017-04-20,4.917001985463672
2017-04-21,5.21197697127292
2017-04-22,5.622799703391748
2017-04-23,5.508230281228094
2017-04-24,5.714352538350036
2017-04-25,4.500155108351698
2017-04-26,5.869298991359683
2017-04-27,5.398389006096227
2017-04-28,4.483772406249653
2017-04-29,4.212030591406102
2017-04-30,4.076489631063296
2017-05-01,4.218973270945673
2017-05-02,5.2043357914532775
2017-05-03,4.085111438917569
2017-05-04,5.31246532534953
2017-05-05,4.349242532795771
2017-05-06,4.303350867580823
2017-05-07,4.16095628382123
2017-05-08,4.363992078622593
2017-05-09,5.50309857380351
2017-05-10,3.939643362285562
2017-05-11,3.673926759265439
2017-05-12,3.802733440854545
2017-05-13,4.2742593425151965
2017-05-14,4.433019520259883
2017-05-15,5.419682028430622
2017-05-16,5.707174012570192
2017-05-17,5.5414459918544505
2017-05-18,4.114783703444521
2017-05-19,4.260175584735394
2017-05-20,4.1404844431859456
2017-05-21,3.9442182452488894
2017-05-22,4.008544816563787
2017-05-23,3.9396675060613457
2017-05-24,4.232898261918429
2017-05-25,5.399212075901661
2017-05-26,4.0038419532738905
2017-05-27,3.985022949487304
2017-05-28,3.3895659720168405
2017-05-29,4.182848496060671
2017-05-30,3.818211382037628
2017-05-31,4.130754467193575
2017-06-01,4.8227518275641
2017-06-02,3.796833696849282
2017-06-03,3.7378333516397775
2017-06-04,4.174999386433855
2017-06-05,3.884795170988697
2017-06-06,3.6190915527573417
2017-06-07,2.283385949540337
2017-06-08,3.403017087207504
2017-06-09,3.2498432559080914
2017-06-10,2.64027695201673
2017-06-11,3.1235208475078435
2017-06-12,3.058471091741503
2017-06-13,3.656130141979991
2017-06-14,4.907689677209312
2017-06-15,3.913508175941133
2017-06-16,4.007194589407801
2017-06-17,3.7399861585839513
2017-06-18,4.5327625172665655
2017-06-19,4.167018358683587
2017-06-20,3.2860140290939355
2017-06-21,3.72836986100256
2017-06-22,4.296567972141031
2017-06-23,4.250523095868346
2017-06-24,3.679472912333477
2017-06-25,2.721128643244697
2017-06-26,3.4086750646968733
2017-06-27,2.988998383893924
2017-06-28,3.76408552131714
2017-06-29,3.8388190460806646
2017-06-30,3.8339783053388063
2017-07-01,3.7189657363679065
2017-07-02,4.037503010419846
2017-07-03,3.4849434277023352
2017-07-04,4.08104756980098
2017-07-05,3.92531563507377
2017-07-06,3.912042699341687
2017-07-07,3.061402101537292
2017-07-08,3.422713805489128
2017-07-09,3.85151692974058
2017-07-10,4.162081141428363
2017-07-11,3.80270357281811
2017-07-12,3.9037629245699423
2017-07-13,2.806970289038784
2017-07-14,3.6423503813003633
2017-07-15,3.946267420499964
2017-07-16,3.911719238558616
2017-07-17,4.18549333470443
2017-07-18,3.4697370446748392
2017-07-19,3.5677608612872413
2017-07-20,3.9417295235554346
2017-07-21,3.5003514510757308
2017-07-22,5.024482085306153
2017-07-23,5.153475413866227
2017-07-24,4.872099214401288
2017-07-25,5.369616263114671
2017-07-26,4.060446170483316
2017-07-27,4.113696039722673
2017-07-28,4.056348082109613
2017-07-29,5.212804221698085
2017-07-30,4.203108957677954
2017-07-31,5.361811595780153
2017-08-01,4.214279200797897
2017-08-02,5.070330637734249
2017-08-03,3.636312389376793
2017-08-04,2.5942446843204814
2017-08-05,3.026635591565331
2017-08-06,3.6980551212254698
2017-08-07,3.826063781181808
2017-08-08,4.13279546784647
2017-08-09,3.9196483139400455
2017-08-10,3.8251259925312113
2017-08-11,3.364681322516295
2017-08-12,4.102079281439647
2017-08-13,3.643188317563268
2017-08-14,3.935865885075329
2017-08-15,3.919430886980001
2017-08-16,4.149516006452881
2017-08-17,3.976753586355384
2017-08-18,3.849331548449381
2017-08-19,2.804412612836121
2017-08-20,3.6745740843775647
2017-08-21,3.363722908024821
2017-08-22,3.531085723381786
2017-08-23,4.1198113334537485
2017-08-24,4.1222760924252455
2017-08-25,4.595211572062289
2017-08-26,3.5019242172777627
2017-08-27,2.8833846600073114
2017-08-28,2.279790002532804
2017-08-29,2.8658734438607887
2017-08-30,3.665107722851585
2017-08-31,5.237467961573389
