date,evaporation (mm)
2017-07-29,4.498680199443927
2017-07-30,4.124782693904434
2017-07-31,4.37920850039823
2017-08-01,4.176425919064782
2017-08-02,4.437548452522791
2017-08-03,4.7407377565762445
2017-08-04,3.720127804390761
2017-08-05,3.06094823605649
2017-08-06,4.263652569280528
2017-08-07,4.066084970578839
2017-08-08,4.315431941731517
2017-08-09,3.970188211195517
2017-08-10,4.07776112819621
2017-08-11,4.33861279040311
2017-08-12,4.544607228689635
2017-08-13,4.391510662608015
2017-08-14,4.144990161986229
2017-08-15,4.080450480693525
2017-08-16,4.156796434020492
2017-08-17,4.52218353176309
2017-08-18,4.421946674190794
2017-08-19,4.085507235847324
2017-08-20,3.2646856755379616
2017-08-21,3.634697942874921
2017-08-22,4.187198198290063
2017-08-23,4.469083425430273
2017-08-24,5.076562129801872
2017-08-25,4.196582466675208
2017-08-26,4.676554286017852
2017-08-27,4.385723066238445
2017-08-28,3.3207101664157666
2017-08-29,3.654789393344743
2017-08-30,4.481890261681991
2017-08-31,4.4312493184385655
2017-09-01,4.166655812510648
2017-09-02,4.31139752030639
2017-09-03,4.428393215655716
2017-09-04,4.325979854347977
2017-09-05,4.638984244756317
2017-09-06,4.348166788544294
2017-09-07,4.353693552216894
2017-09-08,4.409273638987866
2017-09-09,3.913577295156044
2017-09-10,4.249863403181987
2017-09-11,3.3178240363114915
2017-09-12,4.818088878540175
2017-09-13,3.7976365699519214
2017-09-14,3.445948528976428
2017-09-15,5.109019404502586
2017-09-16,4.508490912745235
2017-09-17,2.912629861784581
2017-09-18,5.488375036850925
2017-09-19,5.414187161429755
2017-09-20,5.4455603891920585
2017-09-21,5.761522019305264
2017-09-22,5.766655837963643
2017-09-23,5.298425968003098
2017-09-24,4.638096854817425
2017-09-25,4.700679323738478
2017-09-26,4.373076331960272
2017-09-27,4.541230891940725
2017-09-28,3.689141555131796
2017-09-29,4.151746264027169
2017-09-30,5.830736677532687
2017-10-01,4.385583455269367
2017-10-02,5.4863431914888645
2017-10-03,5.465189136778028
2017-10-04,4.3334399199524505
2017-10-05,4.141457735413764
2017-10-06,4.961762255587821
2017-10-07,4.051780130500563
2017-10-08,4.459430598460813
2017-10-09,4.067331647229973
2017-10-10,4.151499075294723
2017-10-11,4.047119893222306
2017-10-12,4.071734696720754
2017-10-13,3.8758269381496953
2017-10-14,3.531316359110132
2017-10-15,4.348573838017293
2017-10-16,4.2369717705251215
