date,evaporation (mm)
2017-07-16,3.834055897498928
2017-07-17,4.12342519836494
2017-07-18,3.4097934477621967
2017-07-19,3.50802183307688
2017-07-20,3.873887810268378
2017-07-21,3.4252560261612297
2017-07-22,4.89747953072125
2017-07-23,5.026049082585486
2017-07-24,3.7457247163520506
2017-07-25,5.254719376955557
2017-07-26,5.054688028264254
2017-07-27,4.03786954714043
2017-07-28,3.979409498612585
2017-07-29,5.090352761149477
2017-07-30,4.1214780461881135
2017-07-31,4.134133721362108
2017-08-01,4.134948910018868
2017-08-02,3.943936074557849
2017-08-03,3.5741243385635584
2017-08-04,2.5492384925729663
2017-08-05,2.9619925338129374
2017-08-06,3.6197515990373126
2017-08-07,4.75039833007045
2017-08-08,4.035547241865411
2017-08-09,3.818076134192061
2017-08-10,3.721638990815584
2017-08-11,3.2799420748191896
2017-08-12,3.9910932612979297
2017-08-13,3.538264642662186
2017-08-14,3.825505023989837
2017-08-15,3.810166598715544
2017-08-16,4.041394565477874
2017-08-17,3.880212189040982
2017-08-18,3.760172587985703
2017-08-19,2.7382570453219635
2017-08-20,3.593841784713793
2017-08-21,3.287368639981397
2017-08-22,3.4317677038074312
2017-08-23,4.015347474078793
2017-08-24,4.02810595220519
2017-08-25,4.461628328003938
2017-08-26,3.4174962673151845
2017-08-27,2.814031959528931
2017-08-28,2.233011374035437
2017-08-29,2.78811891476488
2017-08-30,4.53377231550926
2017-08-31,5.068966957327041
2017-09-01,5.204348407157466
2017-09-02,4.064115912726574
2017-09-03,4.015329218292847
2017-09-04,4.129188559977063
2017-09-05,4.156018697447226
2017-09-06,5.036322883433431
2017-09-07,3.959194614370303
2017-09-08,4.0359702172288925
2017-09-09,3.440860360972555
2017-09-10,3.437827495802311
2017-09-11,3.556511477579859
2017-09-12,4.585080851227247
2017-09-13,4.003600630317582
2017-09-14,3.484201243851273
2017-09-15,4.619518912981501
2017-09-16,3.1404498932036886
2017-09-17,2.698519503771476
2017-09-18,3.0222981724968343
2017-09-19,3.427443346207066
2017-09-20,4.899209278423342
2017-09-21,4.716138846422723
2017-09-22,5.036244833726816
2017-09-23,5.07534801373964
2017-09-24,3.8012024863305625
2017-09-25,3.6327753222933183
2017-09-26,3.8387193818423073
2017-09-27,3.487056507777095
2017-09-28,3.652334030592505
2017-09-29,3.530674860991041
2017-09-30,3.3580965810017496
2017-10-01,2.812294248342659
2017-10-02,2.968141233773433
2017-10-03,3.4656661634672075
2017-10-04,3.6976778764939926
2017-10-05,3.4096807868194827
2017-10-06,3.312819995248657
2017-10-07,4.30174478308752
2017-10-08,3.448570984301212
2017-10-09,3.496135057305915
2017-10-10,3.307956731714139
2017-10-11,3.235843199434952
2017-10-12,3.4344001847958725
2017-10-13,3.407963192293158
2017-10-14,2.849334008029345
2017-10-15,3.32581410254182
2017-10-16,3.2459615680559053
2017-10-17,3.0876004425620382
2017-10-18,4.427532133503216
2017-10-19,4.397575790725703
2017-10-20,4.343166109768189
2017-10-21,4.300580968375327
2017-10-22,4.545286332843371
2017-10-23,4.522308259720391
2017-10-24,4.623937671257218
2017-10-25,4.646338485901096
2017-10-26,3.146491276085853
2017-10-27,3.2042958265634067
2017-10-28,3.222727385434081
2017-10-29,4.367272609708167
2017-10-30,4.236803782886616
2017-10-31,4.219874731321887
2017-11-01,4.322149375797192
2017-11-02,3.425176120519192
2017-11-03,3.429792146105984
2017-11-04,3.3528659728694734
2017-11-05,2.609920493201569
2017-11-06,3.1063837318848155
2017-11-07,3.27893249131745
2017-11-08,4.346018359714941
2017-11-09,4.365402331507061
2017-11-10,4.360788853642354
2017-11-11,3.205302145382939
2017-11-12,4.506539917113201
2017-11-13,4.352287042531655
2017-11-14,4.430650340383146
2017-11-15,4.383768611631874
2017-11-16,3.945502135167053
2017-11-17,3.955231374927821
2017-11-18,4.016379066565441
2017-11-19,3.8394737135745385
2017-11-20,4.035366666038434
2017-11-21,4.057654559430649
2017-11-22,3.8467110596576015
2017-11-23,4.204638815118561
2017-11-24,3.986921841228975
2017-11-25,3.4239922354096826
2017-11-26,3.826689426107975
2017-11-27,3.902058673351942
2017-11-28,3.9500181320962686
2017-11-29,4.421171142875709
2017-11-30,3.122788474364529
2017-12-01,2.525811571168524
2017-12-02,2.886197463525152
2017-12-03,4.227430094115517
2017-12-04,3.970877315985028
2017-12-05,3.844623361865913
2017-12-06,3.7844622705693776
2017-12-07,3.9633501160355578
2017-12-08,3.9003960974683984
2017-12-09,3.9204414564019694
2017-12-10,3.714155364087043
2017-12-11,2.92550859608515
2017-12-12,3.7150806984387854
2017-12-13,3.465988896768573
2017-12-14,3.557814942921868
2017-12-15,4.228266599902849
2017-12-16,4.288747679979771
