date	ssc
2018-01-13	1.380962051544787
2018-01-29	2.39637703295834
2018-02-14	4.3158467397431295
2018-03-02	3.7165524060964468
2018-09-10	2.4385619133252003
2018-10-12	2.941702258183173
2018-11-13	3.037375398787134
2018-12-31	0.8244209905062073
2019-01-16	4.6857576332308675
2019-02-01	2.2225348442430435
2019-02-17	4.035410518059911
2019-03-05	6.281350682846827
2019-03-21	4.709722199192056
2019-04-06	6.912250652512238
2019-10-31	1.7445801969920742
2019-11-16	0.7165909833911478
2019-12-18	1.5331665886858
2020-01-03	1.3949604271146079
2020-01-19	1.5064156899887684
2020-02-20	0.31968094368214867
2020-03-07	2.997319605363977
2020-03-23	4.355664602601087
2020-04-08	6.480404531679195
2020-04-24	5.811408604244532
2020-06-27	2.6693489708095997
2020-07-13	5.248409241957667
2020-10-17	4.6142721373603255
2021-01-21	3.955014947329573
2021-02-06	4.441567849646532
2021-03-10	0.11147357871323106
2021-05-29	20.486354928719468
2021-06-30	2.323051670087679
2021-10-04	3.3361835093154655
2021-11-05	3.978115804509107
2021-11-21	8.236544805094738
2021-12-23	2.379294698949614
2022-01-08	2.4761878052554933
2022-01-24	3.550944163180387
2022-02-25	3.0495946511122014
2022-03-13	4.587845387255917
2022-03-29	2.0976114215519437
2022-04-14	1.0474784768801155
2022-06-01	0.23566730371599984
2022-09-21	4.623098784306094
2022-10-07	4.583460284678785
2022-11-24	2.315691870969008
2023-02-12	5.213057743123416
2023-03-16	5.897295446859303
2023-04-01	3.8435431445628527
2023-04-17	4.534006903082945
2023-05-19	12.887655824135948
2023-08-23	4.122498282126929
