date,area,days_passed
2017-07-29,1.9161,0
2017-08-02,1.5411,4
2017-08-14,2.0091,12
2017-08-17,2.202342857142857,3
2017-08-30,2.395585714285714,13
2017-09-06,2.5888285714285715,7
2017-09-11,2.7336967250269035,5
2017-09-15,2.975314285714285,4
2017-09-26,3.0492,11
2017-10-01,3.238307931316088,5
2017-10-16,3.0492,15
2017-10-17,3.279875773607674,1
2017-10-21,3.224825282180123,4
2017-11-02,3.3131524004611306,12
2017-11-05,3.328980144505808,3
2017-11-10,3.380914871214496,5
2017-11-18,3.414336351233463,8
2017-11-25,3.4567237094725107,7
2017-11-30,3.0492,5
2017-12-04,2.957693451224876,4
2017-12-05,3.4084714285714286,1
2017-12-15,3.311591834073506,10
2017-12-20,3.490418796571247,5
2017-12-25,3.4686,5
2018-01-04,3.6048052482455275,10
2018-01-05,3.6596300264178354,1
2018-01-14,3.7542230588000622,9
2018-01-21,3.767575100916347,7
2018-01-24,3.759755358431689,3
2018-01-29,3.69,5
2018-02-03,4.0100999999999996,5
2018-02-06,3.857121730656931,3
2018-02-08,4.039499999999999,2
2018-02-13,3.963923824913672,5
2018-02-18,4.068899999999999,5
2018-02-22,4.0836,4
2018-02-23,4.0169,1
2018-02-28,3.9501999999999997,5
2018-03-05,3.8834999999999997,5
2018-03-10,3.8167999999999997,5
2018-03-15,3.7500999999999998,5
2018-03-20,3.6834,5
2018-03-25,3.6167,5
2018-03-26,3.5787888506704095,1
2018-03-30,3.5261056923743928,4
2018-04-04,3.480273217065569,5
2018-04-09,2.9804999999999997,5
2018-04-11,2.7291,2
2018-04-14,2.5836272727272727,3
2018-04-19,2.4381545454545455,5
2018-04-24,2.2698,5
2018-04-27,2.1472090909090906,3
2018-04-29,2.0017363636363634,2
2018-05-09,1.8562636363636362,10
2018-05-13,1.7107909090909088,4
2018-05-14,1.5653181818181818,1
2018-05-19,1.4198454545454544,5
2018-05-24,1.274372727272727,5
2018-05-29,1.1821733819284839,5
2018-06-03,1.0568042088025726,5
2018-06-08,1.3639285714285712,5
2018-06-13,1.481442857142857,5
2018-06-14,1.5989571428571425,1
2018-06-18,1.7164714285714284,4
2018-06-23,1.833985714285714,5
2018-06-28,1.9514999999999998,5
2018-06-30,2.0690142857142853,2
2018-07-03,2.1587782069263826,3
2018-07-08,2.304042857142857,5
2018-07-13,2.4215571428571425,5
2018-07-18,2.5390714285714284,5
2018-07-23,2.656585714285714,5
2018-07-28,2.7741,5
2018-08-01,2.898428571428571,4
2018-08-02,3.0227571428571425,1
2018-08-07,3.105809403731963,5
2018-08-12,3.207554370184432,5
2018-08-17,3.2976773896999836,5
2018-08-22,3.391681896661196,5
2018-08-27,3.481816007591969,5
2018-09-01,3.7861499999999997,5
2018-09-02,3.9278999999999997,1
2018-09-06,4.01717867766606,4
2018-09-11,4.052563730285052,5
2018-09-21,4.033369483979139,10
2018-09-26,3.9225,5
2018-10-01,3.9312,5
2018-10-04,3.9398999999999997,3
2018-10-06,3.944990515669067,2
2018-10-11,3.9518796825702527,5
2018-10-16,3.9659999999999997,5
2018-10-20,3.9747,4
2018-10-21,3.979783477735413,1
2018-10-26,3.977798997219225,5
2018-10-31,3.9704551525409713,5
2018-11-05,3.9439363636363636,5
2018-11-10,3.9488700314915377,5
2018-11-15,3.9380826719756805,5
2018-11-20,3.920863636363636,5
2018-11-21,3.9131727272727272,1
2018-11-25,3.908707041835708,4
2018-11-30,3.897790909090909,5
2018-12-07,3.8949317559824927,7
2018-12-10,3.8880410603244306,3
2018-12-15,3.9222,5
2018-12-20,3.9225400184484207,5
2018-12-23,3.9543,3
2018-12-25,3.97035,2
2018-12-30,3.9863999999999997,5
2019-01-04,4.00245,5
2019-01-08,4.0184999999999995,4
2019-01-09,4.034549999999999,1
2019-01-14,4.0506,5
2019-01-19,4.06665,5
2019-01-24,4.076030457674369,5
2019-01-29,4.071385714285714,5
2019-02-03,4.076294931340183,5
2019-02-08,4.048757142857143,5
2019-02-09,4.050319983696921,1
2019-02-13,4.026128571428572,4
2019-02-18,4.0148142857142854,5
2019-02-23,4.0035,5
2019-02-25,3.89856,2
2019-02-28,3.889036207993073,3
2019-03-05,3.6886799999999997,5
2019-03-10,3.676709275527161,5
2019-03-13,3.5703624677250168,3
2019-03-15,3.509529878544654,2
2019-03-20,3.424951162116605,5
2019-03-25,3.1639799999999996,5
2019-03-29,3.0590399999999995,4
2019-03-30,2.9995150809949935,1
2019-04-04,2.916169942484939,5
2019-04-09,2.8431169768159936,5
2019-04-14,2.7634421737800023,5
2019-04-19,2.5343400000000003,5
2019-04-24,2.4294,5
2019-04-29,2.36083125,5
2019-04-30,2.2922624999999996,1
2019-05-04,2.2503834695400324,4
2019-05-09,2.194450168813719,5
2019-05-14,2.0865562499999997,5
2019-05-16,2.062796401407089,2
2019-05-19,1.9965209877531331,3
2019-05-24,1.9502050099790906,5
2019-05-29,1.8929645251107141,5
2019-06-01,1.7437124999999998,3
2019-06-03,1.6751437499999997,2
2019-06-08,1.6065749999999999,5
2019-06-13,1.5609842202338802,5
2019-06-17,1.5027354419089074,4
2019-06-18,1.4008687499999999,1
2019-06-23,1.3323,5
2019-06-28,1.3322999999999998,5
