date,area,days_passed
2017-07-29,44.1846,0
2017-08-02,43.4034,4
2017-08-14,44.7723,12
2017-08-17,44.3727,3
2017-08-30,46.090859129728656,13
2017-09-06,44.271,7
2017-09-11,46.033122001887854,5
2017-09-15,45.987941363944785,4
2017-09-26,46.84682137082609,11
2017-10-01,44.3295,5
2017-10-16,44.3727,15
2017-10-17,44.92000722443486,1
2017-10-21,44.3727,4
2017-11-02,44.3754,12
2017-11-05,44.3151,3
2017-11-18,44.701676682963495,13
2017-11-25,44.86327380375609,7
2017-11-30,44.3727,5
2017-12-04,43.575093996086814,4
2017-12-05,43.5957008976556,1
2017-12-15,43.9632,10
2017-12-20,44.05895386711117,5
2017-12-25,44.7453,5
2018-01-04,44.68203168086824,10
2018-01-05,44.99376873848215,1
2018-01-09,44.0973,4
2018-01-14,43.704,5
2018-01-21,43.75683588758963,7
2018-01-24,43.586690657075216,3
2018-01-29,44.3178,5
2018-02-03,43.6275,5
2018-02-06,43.87413620101562,3
2018-02-08,43.6997398839317,2
2018-02-13,45.1728,5
2018-02-18,43.3422,5
2018-02-22,47.0232,4
2018-02-23,42.822,1
2018-02-28,44.779570354716434,5
2018-03-05,44.0325,5
2018-03-10,45.0288,5
2018-03-15,45.0288,5
2018-03-20,44.790579918869234,5
2018-03-25,42.2658,5
2018-03-26,43.29544606515925,1
2018-03-30,41.3586,4
2018-04-04,42.09825529515482,5
2018-04-09,41.26084708097199,5
2018-04-11,40.96524195741367,2
2018-04-14,40.39615712763146,3
2018-04-24,40.166399107817725,10
2018-04-27,39.97008160322482,3
2018-04-29,39.75627956634015,2
2018-05-04,39.55038092393662,5
2018-05-09,39.339716330827805,5
2018-05-13,39.13059497066142,4
2018-05-14,38.91986170329858,1
2018-05-19,38.70908076152369,5
2018-05-24,38.49746286153168,5
2018-05-29,38.28539211005632,5
2018-06-03,38.07266733818855,5
2018-06-08,38.44463676229097,5
2018-06-14,39.10068539729923,6
2018-06-18,39.60762829237216,4
2018-06-23,40.18377864902872,5
2018-06-28,40.719375914404054,5
2018-06-30,41.2698309609952,2
2018-07-03,41.807398587149464,3
2018-07-08,44.3727,5
2018-07-13,44.3727,5
2018-07-18,45.20307636765555,5
2018-07-23,45.61063628393254,5
2018-07-28,46.22592731451428,5
2018-08-01,46.73190050667412,4
2018-08-02,46.715612574538575,1
2018-08-07,46.377810222970695,5
2018-08-12,46.199505159662095,5
2018-08-17,44.3727,5
2018-08-22,44.3727,5
2018-08-27,44.3727,5
2018-09-01,44.03153068733516,5
2018-09-02,44.72509493781036,1
2018-09-06,45.749778759754086,4
2018-09-11,45.884502682323735,5
2018-09-21,45.73372263972555,10
2018-09-26,48.1779,5
2018-10-01,46.87000764918387,5
2018-10-04,47.493597567991785,3
2018-10-06,47.20781543135275,2
2018-10-11,47.376798059399476,5
2018-10-16,49.8006,5
2018-10-20,48.61544328417201,4
2018-10-21,47.9772,1
2018-10-26,49.2372,5
2018-10-31,48.568322385538764,5
2018-11-05,47.7468,5
2018-11-10,48.0033,5
2018-11-15,48.5325,5
2018-11-20,49.1697,5
2018-11-21,49.1697,1
2018-11-25,46.4805,4
2018-11-30,47.7866325619117,5
2018-12-07,47.09562455027039,7
2018-12-10,48.1257,3
2018-12-15,47.754,5
2018-12-20,47.8917,5
2018-12-23,47.8917,3
2018-12-25,48.3084,2
2018-12-30,48.085838136785405,5
2019-01-04,48.18287431588172,5
2019-01-08,48.12012581767781,4
2019-01-09,48.13726037991903,1
2019-01-14,46.638,5
2019-01-19,46.566,5
2019-01-24,46.588206304270926,5
2019-01-29,45.7209,5
2019-02-03,45.8757,5
2019-02-08,45.62519918253196,5
2019-02-09,45.5768735746483,1
2019-02-13,45.3069,4
2019-02-18,46.7127,5
2019-02-23,45.8332303048552,5
2019-02-25,46.09470140334419,2
2019-02-28,45.67323630391803,3
2019-03-05,44.5113,5
2019-03-10,46.4553,5
2019-03-13,45.074488420067915,3
2019-03-15,45.34982078776586,2
2019-03-20,44.79834112068737,5
2019-03-25,44.657720311890465,5
2019-03-29,44.311014460027295,4
2019-03-30,42.4701,1
2019-04-04,42.4701,5
2019-04-09,42.06274114699897,5
2019-04-14,41.85708908420826,5
2019-04-19,41.54957796848532,5
2019-04-24,41.29147781513497,5
2019-04-29,41.00738488830431,5
2019-04-30,40.780843849535145,1
2019-05-04,40.57015665728938,4
2019-05-09,40.35070131914219,5
2019-05-14,40.13474676992486,5
2019-05-16,39.91616557765945,2
2019-05-19,39.69800354427286,3
2019-05-24,39.478732120967045,5
2019-05-29,39.25910348370831,5
2019-06-01,39.03873239734508,3
2019-06-03,38.817800548382955,2
2019-06-08,38.59620675087731,5
2019-06-13,38.37399064183571,5
2019-06-17,38.15112142858636,4
2019-06-18,37.927603206341544,1
2019-06-23,37.70342244480596,5
2019-06-28,37.478574161495466,5
