date,evaporation (mm)
2017-08-02,5.308241865754352
2017-08-03,3.8833940712292296
2017-08-04,3.5321588316218544
2017-08-05,2.1546254032375822
2017-08-06,3.658467840343322
2017-08-07,5.227279340711462
2017-08-08,4.232780395331315
2017-08-09,3.7537838163917927
2017-08-10,4.102259087139566
2017-08-11,4.4298426985167465
2017-08-12,4.190145034892722
2017-08-13,3.4365926441257426
2017-08-14,3.711201671644389
2017-08-15,3.617806594413224
2017-08-16,4.717809722362668
2017-08-17,3.881690417744366
2017-08-18,4.115379101309559
2017-08-19,3.61599072994008
2017-08-20,2.006801814031012
2017-08-21,3.5548194573775893
2017-08-22,3.581983978227455
2017-08-23,4.161754083562355
2017-08-24,4.085764329287681
2017-08-25,3.456169591332595
2017-08-26,3.945918141956751
2017-08-27,3.342139859082706
2017-08-28,2.3268690884344982
2017-08-29,1.97392295152898
2017-08-30,3.654346905402793
2017-08-31,4.898422873159946
2017-09-01,4.092954525638586
2017-09-02,4.28504279485827
2017-09-03,4.195025556286417
2017-09-04,4.087326781470118
2017-09-05,4.134795808837241
2017-09-06,5.076912464338434
2017-09-07,3.907375323925081
2017-09-08,4.042387500734452
2017-09-09,3.60154023788607
2017-09-10,3.8306435668127263
2017-09-11,3.825110712480325
2017-09-12,5.11505955157771
2017-09-13,3.769324234027748
2017-09-14,2.472242692615849
2017-09-15,3.889490392626363
2017-09-16,3.3038420368544017
2017-09-17,2.275400146223275
2017-09-18,3.556878265938427
2017-09-19,4.800494703540684
2017-09-20,4.69369771505805
2017-09-21,5.061450284375021
2017-09-22,5.154152366778527
2017-09-23,5.116502919360848
2017-09-24,3.915308861635276
2017-09-25,3.2656558445890784
2017-09-26,3.807193709941431
2017-09-27,3.365855329839108
2017-09-28,3.0218894223817547
2017-09-29,3.399411996961217
2017-09-30,3.628289350481428
2017-10-01,3.4535395206140227
2017-10-02,3.8146711143095584
2017-10-03,4.712810075713442
2017-10-04,3.576377009787919
2017-10-05,3.76163071009553
2017-10-06,3.561351697219992
2017-10-07,4.7256896510019
2017-10-08,3.743334524696404
2017-10-09,4.821769574927688
2017-10-10,3.593198265689187
2017-10-11,3.538171685035262
2017-10-12,3.265523426105765
2017-10-13,3.796484497735241
2017-10-14,3.3730879784299086
2017-10-15,3.2317236952542774
2017-10-16,3.5511530258991297
2017-10-17,2.8329183939153344
2017-10-18,3.172563393246843
2017-10-19,4.645661222481332
2017-10-20,4.391090256667567
2017-10-21,3.4069511608290863
2017-10-22,4.510060289901509
2017-10-23,4.607843851980717
2017-10-24,4.715556917196804
2017-10-25,4.583300371489204
2017-10-26,3.2158244451161324
2017-10-27,3.057302129863521
2017-10-28,3.111157463229492
2017-10-29,4.282935971925522
2017-10-30,4.35509425751041
2017-10-31,3.5761317359948066
2017-11-01,3.099389307410577
2017-11-02,3.157120661634522
2017-11-03,1.981237818243992
2017-11-04,2.296131996225631
2017-11-05,2.7810107113021045
2017-11-06,2.6728984154695645
2017-11-07,3.025533452572041
2017-11-08,3.6494524139221496
2017-11-09,3.9862635068920063
2017-11-10,4.097119941318549
2017-11-11,2.73380011816479
2017-11-12,4.304627487757516
2017-11-13,4.200931636597622
2017-11-14,4.132768246416605
2017-11-15,4.133712014677386
2017-11-16,4.129100205818831
2017-11-17,3.969085607574649
2017-11-18,3.755437765820036
2017-11-19,3.9298906427473352
2017-11-20,3.0746288747562622
2017-11-21,3.788320139871996
2017-11-22,3.574258816080554
2017-11-23,3.9685141217076727
2017-11-24,3.850068278417029
2017-11-25,3.574442004123412
2017-11-26,3.4422789188899703
2017-11-27,3.5168378126546225
2017-11-28,3.6440155641457226
2017-11-29,3.585720611510245
2017-11-30,1.960309180836336
2017-12-01,2.48468592699922
2017-12-02,2.8386255957614623
2017-12-03,3.729772973702589
2017-12-04,3.863189665134992
2017-12-05,3.750178966370789
2017-12-06,3.727673788941385
2017-12-07,3.640395567394242
2017-12-08,3.785240181383298
2017-12-09,3.872311070790957
2017-12-10,3.604898983509752
2017-12-11,3.4841986137027074
2017-12-12,3.7425954106639616
2017-12-13,2.2899454150691576
2017-12-14,3.567498383365818
2017-12-15,3.5142121696143005
2017-12-16,3.1398536571215083
2017-12-17,3.91981293973849
2017-12-18,3.8450687379053496
2017-12-19,3.776004629292341
2017-12-20,3.66629497420199
2017-12-21,3.940645995343594
2017-12-22,3.834600185827788
2017-12-23,3.5368693177967256
2017-12-24,3.996822207651984
2017-12-25,3.88739030711986
2017-12-26,4.192756242140177
2017-12-27,3.951839964993044
2017-12-28,3.8433796919960206
2017-12-29,3.841973051295565
2017-12-30,3.901781680589923
2017-12-31,2.701138349407992
2018-01-01,3.9245160000848114
2018-01-02,4.011892283174227
2018-01-03,4.006916469332226
2018-01-04,3.968973638525724
2018-01-05,3.46112023076847
2018-01-06,3.5331294795289168
2018-01-07,3.605226026193302
2018-01-08,3.797242043091984
2018-01-09,3.080376213083352
2018-01-10,3.6045652628132814
2018-01-11,3.7640909493576737
2018-01-12,3.1285058875997827
