date,streamflow
2015-10-24,0.6500641535660141
2015-10-25,15.690637302451291
2015-10-26,23.60905194400728
2015-10-27,15.093050541389571
2015-10-28,10.410505419648828
2015-10-29,11.019820565668397
2015-10-30,17.66987325442357
2015-10-31,17.22191953726998
2015-11-01,17.02605386043342
2015-11-02,23.85723223112147
2015-11-03,25.26226046220271
2015-11-04,21.513143786351726
2015-11-05,37.08865750316532
2015-11-06,57.00352391489574
2015-11-07,54.36254610022899
2015-11-08,40.39622550611934
2015-11-09,24.23091125502992
2015-11-10,15.362242070561996
2015-11-11,15.61291288100353
2015-11-12,16.10845597617586
2015-11-13,20.212343809272227
2015-11-14,27.63870311338402
2015-11-15,25.98852605524418
2015-11-16,23.321929054640577
2015-11-17,18.543690999554524
2015-11-18,10.54310497394735
2015-11-19,6.315314086702023
2015-11-20,3.7372491419069815
2015-11-21,3.503079917421006
2015-11-22,3.306541488933423
2015-11-23,2.696349650499051
2015-11-24,4.641172962332478
2015-11-25,7.194350485150842
2015-11-26,6.2791463089207324
2015-11-27,3.830283038368449
2015-11-28,2.1901674288590502
2015-11-29,1.0427944859577023
2015-11-30,0.5556528237258179
2015-12-01,0.4174904786361543
2015-12-02,0.379467695356425
2015-12-03,0.4380277929528891
2015-12-04,0.4306795031959563
2015-12-05,0.263070690915073
2015-12-06,0.1352832412808459
2015-12-07,0.1221665645661181
2015-12-08,0.1218183749520367
2015-12-09,0.170687671623493
2015-12-10,0.188725937542926
2015-12-11,0.1348317438801914
2015-12-12,0.1132115214093852
2015-12-13,0.1794738591562172
2015-12-14,0.3818351451716529
2015-12-15,0.6126813848304942
2015-12-16,0.6378794737672929
2015-12-17,0.4800231835101495
2015-12-18,0.3295307402856807
2015-12-19,0.2077931229991086
2015-12-20,0.133849799727267
2015-12-21,0.1014910663013711
2015-12-22,0.0897312247245277
2015-12-23,0.0849646105086004
2015-12-24,0.0792341120584283
2015-12-25,0.0704407481871689
2015-12-26,0.0601618768589201
2015-12-27,0.056181808375373
2015-12-28,0.0545075258083527
2015-12-29,0.0543813547163433
2015-12-30,0.0540864426835554
2015-12-31,0.0533458730334698
2016-01-01,0.0528151765266095
2016-01-02,0.0518297318450589
2016-01-03,0.0510973449142509
2016-01-04,0.0504543681446769
2016-01-05,0.0499194960355579
2016-01-06,0.0494389478152291
2016-01-07,0.0489926355124287
2016-01-08,0.0485831849483791
2016-01-09,0.0484760625993465
2016-01-10,0.0482802623627434
2016-01-11,0.047711475449141
2016-01-12,0.0472463032767332
2016-01-13,0.0468029580131614
2016-01-14,0.0464208434005317
2016-01-15,0.0460833003545853
2016-01-16,0.0457776032842806
2016-01-17,0.0454843520345693
2016-01-18,0.0451829217467706
2016-01-19,0.0448687718144679
2016-01-20,0.044538817400349
2016-01-21,0.0442321819097347
2016-01-22,0.0439522138097827
2016-01-23,0.0437097355162478
2016-01-24,0.0435127437067229
2016-01-25,0.0433475910767963
2016-01-26,0.0431962344147281
2016-01-27,0.0430505286626473
2016-01-28,0.042908914128621
2016-01-29,0.0427725115934535
2016-01-30,0.0426470090622018
2016-01-31,0.0426039057240353
2016-02-01,0.0441096059246204
2016-02-02,0.0447881347787714
2016-02-03,0.0450614359602657
2016-02-04,0.0451757114280189
2016-02-05,0.0437492032544279
2016-02-06,0.0430003093008297
2016-02-07,0.0424056648583893
2016-02-08,0.0421208831776157
2016-02-09,0.0419808215394789
2016-02-10,0.0419140685370349
2016-02-11,0.0418552278279798
2016-02-12,0.0417309641587842
2016-02-13,0.0416812106090998
2016-02-14,0.0415826085161611
2016-02-15,0.0415442881766214
2016-02-16,0.0415163278387252
2016-02-17,0.0414907475318193
2016-02-18,0.0414777410376552
2016-02-19,0.0417373136453871
2016-02-20,0.0418683759063788
2016-02-21,0.0416766331907823
2016-02-22,0.0415480690420329
2016-02-23,0.0414251487240591
2016-02-24,0.0413508948720133
2016-02-25,0.0413096955586391
2016-02-26,0.0413117714666927
2016-02-27,0.041898861257522
2016-02-28,0.0421151750675974
2016-02-29,0.0416970085780411
2016-03-01,0.0415054686110691
2016-03-02,0.0412969793121568
2016-03-03,0.0411961121546266
2016-03-04,0.0411480128751439
2016-03-05,0.0411260678850559
2016-03-06,0.0411041735821239
2016-03-07,0.0410834875590535
2016-03-08,0.0410620862524278
2016-03-09,0.0410142027473193
2016-03-10,0.0409949042497519
2016-03-11,0.0442685880304172
2016-03-12,0.1212337155961854
2016-03-13,0.1789237930765034
2016-03-14,0.143771144527473
2016-03-15,0.1072229018730585
2016-03-16,0.074869596503564
2016-03-17,0.0557289608274535
2016-03-18,0.0478462710032412
2016-03-19,0.0462205096367238
2016-03-20,0.0460755633424795
2016-03-21,0.0460690855805598
2016-03-22,0.0464497554676556
2016-03-23,0.0522302102161366
2016-03-24,0.0565920925873984
2016-03-25,0.051476610568904
2016-03-26,0.0478094259714302
2016-03-27,0.0444677738292477
2016-03-28,0.0430624851681246
2016-03-29,0.0425925905951426
2016-03-30,0.0422129670155434
2016-03-31,0.0420293866310947
2016-04-01,0.0418563520068057
2016-04-02,0.0418283712807795
2016-04-03,0.0430258089047217
2016-04-04,0.0438053198828017
2016-04-05,0.0428210871623028
2016-04-06,0.0422096352553254
2016-04-07,0.0416270823897224
2016-04-08,0.04999933991637
2016-04-09,0.2569212631194865
2016-04-10,0.4955207871602664
2016-04-11,0.4430131947386457
2016-04-12,0.2967176055664703
2016-04-13,0.1889819184417843
2016-04-14,0.1118235833299244
2016-04-15,0.0781475232805839
2016-04-16,0.0685532975286065
2016-04-17,0.0668496031021127
