date,streamflow
2015-10-24,1.0238167418112851
2015-10-25,24.61385928910057
2015-10-26,34.8025801121505
2015-10-27,19.938121140942773
2015-10-28,14.74336064412042
2015-10-29,14.055522598201382
2015-10-30,12.6299532413558
2015-10-31,7.2572964290998465
2015-11-01,5.971934712054207
2015-11-02,24.76802571862917
2015-11-03,45.66003768207453
2015-11-04,38.19828600040284
2015-11-05,23.217572893440938
2015-11-06,13.209772823302146
2015-11-07,6.211551163447032
2015-11-08,3.144287598000549
2015-11-09,2.28636028197972
2015-11-10,8.466215288559248
2015-11-11,16.864182586737215
2015-11-12,16.809045608002243
2015-11-13,17.982146685909274
2015-11-14,18.806695127756367
2015-11-15,12.53786127649294
2015-11-16,7.418785765163721
2015-11-17,4.050550050186081
2015-11-18,2.114386939136043
2015-11-19,1.3757314257887967
2015-11-20,2.7776808652046925
2015-11-21,33.54682903884429
2015-11-22,59.62826966335668
2015-11-23,46.18511612649012
2015-11-24,30.48263640713811
2015-11-25,20.46667867813132
2015-11-26,13.689259813155926
2015-11-27,8.791867694014432
2015-11-28,5.656743880772634
2015-11-29,3.9732058673598334
2015-11-30,2.936682266101038
2015-12-01,2.525017517170528
2015-12-02,1.1047750717805762
2015-12-03,0.4536391963477296
2015-12-04,0.4178726541300051
2015-12-05,0.3353214335565315
2015-12-06,0.2064756007062512
2015-12-07,0.1281106190486362
2015-12-08,0.1379512455437949
2015-12-09,0.1620155670039625
2015-12-10,0.1586214644155872
2015-12-11,0.1487865358363819
2015-12-12,0.14527201755515
2015-12-13,0.1302884819098297
2015-12-14,0.1874111291366851
2015-12-15,0.8743229969686055
2015-12-16,1.29375511366491
2015-12-17,0.9308569335483092
2015-12-18,0.6329706577259324
2015-12-19,0.3731679019884153
2015-12-20,0.2249503493013855
2015-12-21,0.1674440141778811
2015-12-22,0.1549877727015766
2015-12-23,0.1513835843104552
2015-12-24,0.1486554936803515
2015-12-25,0.1447153355273032
2015-12-26,0.1138837916740122
2015-12-27,0.1045162734308015
2015-12-28,0.1029538152252581
2015-12-29,0.1018497744914391
2015-12-30,0.1008569473247072
2015-12-31,0.0999330439299102
2016-01-01,0.0990599840002386
2016-01-02,0.098228829322937
2016-01-03,0.0974304791465479
2016-01-04,0.0966570073024276
2016-01-05,0.095903384152212
2016-01-06,0.0951681244772758
2016-01-07,0.0944744591357295
2016-01-08,0.0942416957860634
2016-01-09,0.0937803752711845
2016-01-10,0.0928601714724481
2016-01-11,0.0921192676835679
2016-01-12,0.0915088051672247
2016-01-13,0.0936668867286094
2016-01-14,0.0942953751834159
2016-01-15,0.0920018026061686
2016-01-16,0.090705755810076
2016-01-17,0.0893203563359487
2016-01-18,0.0883884729704987
2016-01-19,0.0876744121367322
2016-01-20,0.0871100876750484
2016-01-21,0.0865809978660868
2016-01-22,0.0861004363368399
2016-01-23,0.085687137513283
2016-01-24,0.0852260667529947
2016-01-25,0.0849335007709808
2016-01-26,0.0846741173197869
2016-01-27,0.0844282565788779
2016-01-28,0.0841901328500746
2016-01-29,0.0839592868341189
2016-01-30,0.0837426252931624
2016-01-31,0.0835633793684839
2016-02-01,0.0837914033274676
2016-02-02,0.0842437377741195
2016-02-03,0.0840344757084526
2016-02-04,0.083478394564099
2016-02-05,0.0830694636141918
2016-02-06,0.0827249602872529
2016-02-07,0.082504011858829
2016-02-08,0.0823488610224313
2016-02-09,0.0822192029938823
2016-02-10,0.0820943925263712
2016-02-11,0.081977568542388
2016-02-12,0.0818543446678144
2016-02-13,0.0817382699476028
2016-02-14,0.0816488968814383
2016-02-15,0.0815682125566074
2016-02-16,0.0814912819130147
2016-02-17,0.081414148803966
2016-02-18,0.081354933463025
2016-02-19,0.0816626829384003
2016-02-20,0.0817580648394981
2016-02-21,0.0814448601235483
2016-02-22,0.0812600309661469
2016-02-23,0.0810656754550776
2016-02-24,0.0809365778169308
2016-02-25,0.0808462864354181
2016-02-26,0.0807752091672688
2016-02-27,0.0807045371132001
2016-02-28,0.0806325551217891
2016-02-29,0.0805586085075333
2016-03-01,0.0804705991807204
2016-03-02,0.0803992112767595
2016-03-03,0.0803284511572966
2016-03-04,0.0802576845249589
2016-03-05,0.0801854391868709
2016-03-06,0.0832079862316942
2016-03-07,0.1544394758584633
2016-03-08,0.1847529816850083
2016-03-09,0.1394677681601349
2016-03-10,0.1195486140114318
2016-03-11,0.0974132701491206
2016-03-12,0.0880707381253658
2016-03-13,0.0982542006515121
2016-03-14,0.1038586194730905
2016-03-15,0.0951332879594225
2016-03-16,0.0912428054847293
2016-03-17,0.0869179397453714
2016-03-18,0.0818278256574304
2016-03-19,0.0809732169852641
2016-03-20,0.0808433632873023
2016-03-21,0.0807490885749221
2016-03-22,0.0810059674009989
2016-03-23,0.0810660333800237
2016-03-24,0.0801547952613844
2016-03-25,0.0799411718349425
2016-03-26,0.0797403892491098
2016-03-27,0.0796043579478065
2016-03-28,0.0795042097550216
2016-03-29,0.0794197176637745
2016-03-30,0.0793318906974562
2016-03-31,0.0792431046395301
2016-04-01,0.0791546900986366
2016-04-02,0.0790534214082159
2016-04-03,0.0812312434931497
2016-04-04,0.1331877980008676
2016-04-05,0.1552968861994718
2016-04-06,0.122072978519457
2016-04-07,0.1072465447412927
2016-04-08,0.0908860483254196
2016-04-09,0.0862159030943464
2016-04-10,0.1466141279325945
2016-04-11,0.1732614419503215
2016-04-12,0.133108119490442
2016-04-13,0.1153120484129055
2016-04-14,0.095623523939447
2016-04-15,0.0844939802639333
2016-04-16,0.0813644595335243
2016-04-17,0.0812196854057097
