date,evaporation (mm)
2017-07-29,4.615136867384241
2017-07-30,4.323689373323813
2017-07-31,4.633261538763387
2017-08-01,4.610686668616387
2017-08-02,4.500058046497792
2017-08-03,4.52960882514382
2017-08-04,3.73632985843928
2017-08-05,2.498384075559309
2017-08-06,4.162406915267958
2017-08-07,4.44127644683638
2017-08-08,4.592913010625824
2017-08-09,4.196567272972922
2017-08-10,4.439922312499701
2017-08-11,3.563420765867699
2017-08-12,4.631558788627116
2017-08-13,3.954462087127989
2017-08-14,4.252407195382009
2017-08-15,3.971612282941373
2017-08-16,4.166506952280946
2017-08-17,4.340390285922894
2017-08-18,4.536252703402666
2017-08-19,4.014016638907933
2017-08-20,2.95331588022997
2017-08-21,3.7439988427514432
2017-08-22,4.011912926922024
2017-08-23,4.710414339083386
2017-08-24,4.480025654619652
2017-08-25,4.012394189428327
2017-08-26,4.555391351639701
2017-08-27,4.075279180793618
2017-08-28,2.996777778216088
2017-08-29,2.903311582394964
2017-08-30,4.283309001133267
2017-08-31,4.41872089931343
2017-09-01,4.64593504584078
2017-09-02,4.752135729220386
2017-09-03,4.423334461921323
2017-09-04,4.606905440782718
2017-09-05,4.860763122021239
2017-09-06,4.534417396325054
2017-09-07,4.652744470517682
2017-09-08,4.657428465089025
2017-09-09,4.056272571879647
2017-09-10,4.398721669660539
2017-09-11,3.991367036446184
2017-09-12,5.491437358248192
2017-09-13,4.252814876764157
2017-09-14,3.3322161720466243
2017-09-15,4.782034736879728
2017-09-16,4.111717718749699
2017-09-17,2.910198939177917
2017-09-18,4.352689287876361
2017-09-19,5.415196267531785
2017-09-20,5.263386212986617
2017-09-21,5.642437550309555
2017-09-22,5.758738385551218
2017-09-23,5.804585059477392
2017-09-24,4.555017578723426
2017-09-25,5.137108785070394
2017-09-26,4.378827355834792
2017-09-27,4.37265871704796
2017-09-28,3.6297487943842888
2017-09-29,4.0098314063744
2017-09-30,5.474626183574038
2017-10-01,4.215370457506528
2017-10-02,4.544294880927456
2017-10-03,5.364401101701123
2017-10-04,4.373265208873806
2017-10-05,4.375811516444964
2017-10-06,4.267873144477755
2017-10-07,4.267491074371523
2017-10-08,4.442029309364545
2017-10-09,4.255769774018076
2017-10-10,4.174118521921869
2017-10-11,4.1754435669914685
2017-10-12,4.115953259429062
2017-10-13,4.37386505796476
2017-10-14,3.703190719816265
2017-10-15,3.977063536222351
2017-10-16,4.324636975640959
2017-10-17,3.145918156420136
2017-10-18,4.568109573446044
2017-10-19,5.347260658205024
2017-10-20,4.289658632659627
2017-10-21,3.631025321674181
2017-10-22,5.080597159260395
2017-10-23,5.057852202983321
2017-10-24,5.218066086247762
2017-10-25,3.7981317899917286
2017-10-26,3.303006911991952
2017-10-27,3.508480204948944
2017-10-28,3.553831199201823
2017-10-29,3.7091970916382353
2017-10-30,3.5788695521267715
2017-10-31,3.147653597426858
2017-11-01,3.4046784111278487
2017-11-02,3.341806826826636
2017-11-03,2.53533774548011
2017-11-04,2.947138105657103
2017-11-05,3.0122451248082305
2017-11-06,3.1762917476192736
2017-11-07,3.414719074463143
2017-11-08,3.362625128233986
2017-11-09,4.263681263559356
2017-11-10,4.453978487579023
2017-11-11,3.970606992885712
2017-11-12,4.599106249464417
2017-11-13,4.561382212564726
2017-11-14,4.546460398914041
2017-11-15,4.600142700018375
2017-11-16,4.822817725934179
2017-11-17,4.530098137075929
2017-11-18,4.107321486870107
2017-11-19,3.1723890536927417
2017-11-20,3.298766190076422
2017-11-21,3.1129579122909936
2017-11-22,3.896244742590675
2017-11-23,4.317620414435931
2017-11-24,4.261648397463688
2017-11-25,2.892853559630693
2017-11-26,3.2015142155345147
2017-11-27,2.9664442943544205
2017-11-28,3.897904510450232
2017-11-29,3.647547194037098
2017-11-30,1.6726620417766902
2017-12-01,2.7159746345057565
2017-12-02,3.245635090301193
2017-12-03,3.434461392064315
2017-12-04,4.143690964257974
2017-12-05,3.911771415178669
2017-12-06,3.984170318490742
2017-12-07,4.100678033330996
2017-12-08,4.134993261363582
2017-12-09,4.045513923778986
2017-12-10,3.6142282503576686
2017-12-11,3.3307784410458985
2017-12-12,3.723940209798345
2017-12-13,2.544088753794532
2017-12-14,3.177732062842712
2017-12-15,4.173357165685011
2017-12-16,4.28837309187736
2017-12-17,4.845326345604649
2017-12-18,4.600163310291459
2017-12-19,4.628990973650683
2017-12-20,3.577686287775545
2017-12-21,4.616460210664132
2017-12-22,4.624611158403528
2017-12-23,4.426464023401477
2017-12-24,4.635165933802085
2017-12-25,4.5927783294245526
2017-12-26,4.816045661671017
2017-12-27,4.764445474284777
2017-12-28,4.897447144647676
2017-12-29,4.841888096461611
2017-12-30,4.673922176455381
2017-12-31,3.636541232985869
2018-01-01,4.167838512634436
2018-01-02,4.18437851573654
2018-01-03,4.302097800045263
2018-01-04,3.556410154377854
2018-01-05,4.032346006070998
2018-01-06,3.849460425704096
2018-01-07,4.087387445803036
2018-01-08,4.410673279234949
2018-01-09,3.477938075966601
2018-01-10,4.294384899924792
2018-01-11,3.2263572070146256
2018-01-12,2.8261498632889817
2018-01-13,4.169345154396998
2018-01-14,4.962315416994687
2018-01-15,4.7134953279833685
2018-01-16,4.18246262195441
2018-01-17,4.221884388129101
2018-01-18,4.813636926104234
2018-01-19,4.937517123481209
2018-01-20,5.045803579984489
2018-01-21,4.569574086843037
2018-01-22,4.405231702164297
2018-01-23,3.0648843570733795
2018-01-24,4.153575434722455
2018-01-25,4.230989728457294
2018-01-26,4.374491456397644
2018-01-27,4.551276992914015
2018-01-28,4.014396407929609
2018-01-29,2.947855741435956
2018-01-30,5.113411495951044
2018-01-31,5.22415753495804
2018-02-01,5.0113611431551
2018-02-02,5.165333794744351
2018-02-03,5.221891773711548
2018-02-04,5.563072186283399
2018-02-05,5.129651280166999
2018-02-06,3.944635543796789
2018-02-07,3.334727936342661
2018-02-08,3.493775145061912
2018-02-09,3.399086876577761
2018-02-10,4.976700180900725
2018-02-11,3.367582692209288
2018-02-12,3.7445822303966176
2018-02-13,4.827168068955496
2018-02-14,5.017717727332662
2018-02-15,5.00123348919163
2018-02-16,5.3047076575707095
