date,evaporation (mm)
2017-07-21,4.068163074092257
2017-07-22,4.07373642609777
2017-07-23,5.360852695896905
2017-07-24,5.2890455328206185
2017-07-25,5.597998168497281
2017-07-26,5.273673525677591
2017-07-27,4.193378599367434
2017-07-28,4.230687866995937
2017-07-29,4.223070334794679
2017-07-30,4.102166054583419
2017-07-31,4.186559030572517
2017-08-01,4.216149188342707
2017-08-02,3.9961190533731177
2017-08-03,3.745328440819781
2017-08-04,2.963768046899633
2017-08-05,2.0563567134278458
2017-08-06,3.529627737464004
2017-08-07,3.9274574190632094
2017-08-08,4.113968851082688
2017-08-09,3.633151489072639
2017-08-10,4.980099383607144
2017-08-11,3.031147082068069
2017-08-12,4.099275315294348
2017-08-13,3.415750477231379
2017-08-14,3.65157147359697
2017-08-15,3.6000908819720934
2017-08-16,3.789248087690312
2017-08-17,3.795953766971409
2017-08-18,3.9808396888067294
2017-08-19,3.250650747222116
2017-08-20,2.448649456152572
2017-08-21,3.3207111185401144
2017-08-22,3.4235182315123303
2017-08-23,4.154572434939662
2017-08-24,3.996090556658766
2017-08-25,4.344562427523712
2017-08-26,3.795970187903927
2017-08-27,3.073195878260054
2017-08-28,2.0485672783902884
2017-08-29,2.066099368237261
2017-08-30,3.564188160323224
2017-08-31,3.8502064821561386
2017-09-01,4.097290512649652
2017-09-02,4.21398844474954
2017-09-03,5.219829834291333
2017-09-04,4.068896906321023
2017-09-05,4.125426505157258
2017-09-06,3.904271023196078
2017-09-07,3.890541234032459
2017-09-08,4.017713537675742
2017-09-09,3.5213236366976424
2017-09-10,3.72209043376775
2017-09-11,3.667087145303697
2017-09-12,3.972267962397505
2017-09-13,3.795346843200115
2017-09-14,2.6847569076464968
2017-09-15,3.877993846795592
2017-09-16,3.210524449011818
2017-09-17,2.342278853519753
2017-09-18,3.3886471766148354
2017-09-19,4.626157066302833
2017-09-20,4.447716423925503
2017-09-21,5.046998116424055
2017-09-22,5.194872578047983
2017-09-23,5.090693036791807
2017-09-24,4.926697221730674
2017-09-25,3.330374405415557
2017-09-26,4.872007130903896
2017-09-27,3.43072169732606
2017-09-28,3.1872619692503124
2017-09-29,3.448289055209123
2017-09-30,3.619271071729784
2017-10-01,3.355598250819894
2017-10-02,3.7132574130930345
2017-10-03,3.748749577741156
2017-10-04,3.7722867553927264
2017-10-05,3.7331775575196366
2017-10-06,3.5191403967305463
2017-10-07,3.642587173715285
2017-10-08,3.806103986569912
2017-10-09,4.891205538806682
2017-10-10,3.610189111406892
2017-10-11,3.569850680757556
2017-10-12,3.410320907381102
2017-10-13,3.800658798249967
2017-10-14,3.133260255307836
2017-10-15,3.3806313714653604
2017-10-16,3.6162737736899047
2017-10-17,2.8922365149319043
2017-10-18,3.704589159704345
2017-10-19,4.650372234237065
2017-10-20,3.5133239965819505
2017-10-21,3.3809423822116376
2017-10-22,3.660010740246424
2017-10-23,4.707154969233436
2017-10-24,4.862548611392958
2017-10-25,3.682025986422593
2017-10-26,3.2978068063013697
2017-10-27,3.2290464160606054
2017-10-28,3.247360627354914
2017-10-29,3.4860329424460383
2017-10-30,3.467151839880951
2017-10-31,3.104711263759816
2017-11-01,3.2508344816353683
2017-11-02,3.25764568736711
2017-11-03,3.3547519086031103
2017-11-04,2.766916691350461
2017-11-05,2.91600322361468
2017-11-06,2.9201479779680466
2017-11-07,3.100161156826024
2017-11-08,3.1680707140663875
2017-11-09,4.205715930767512
2017-11-10,4.2989205018578405
2017-11-11,3.918107793731352
2017-11-12,3.491401736454047
2017-11-13,4.334851043649433
2017-11-14,4.266485594240284
2017-11-15,4.287796059039416
2017-11-16,4.271052265519512
2017-11-17,4.069362273158111
2017-11-18,3.944228411271108
2017-11-19,3.090859387790682
2017-11-20,3.1752174642734965
2017-11-21,3.061156241701421
2017-11-22,3.704108633282455
2017-11-23,4.100443922662902
2017-11-24,3.9479616954433583
2017-11-25,3.669317263812305
2017-11-26,2.8480095134330865
2017-11-27,3.665409871947471
2017-11-28,3.7649437365132257
2017-11-29,3.868966586476572
2017-11-30,2.2379410164930884
2017-12-01,2.5123675677112023
2017-12-02,3.1956896225975235
2017-12-03,4.0315538764906895
2017-12-04,3.97389729603105
2017-12-05,3.917132794385204
2017-12-06,3.8510826640234415
2017-12-07,3.855206848887769
2017-12-08,3.890721900732345
2017-12-09,3.959970591115436
2017-12-10,3.6972825568659538
2017-12-11,3.4160263942565856
2017-12-12,3.786597918756706
2017-12-13,3.1520183373770165
2017-12-14,3.652974748063705
2017-12-15,3.7635884460708606
2017-12-16,3.671849243669412
2017-12-17,4.340965312378215
2017-12-18,4.029357134640835
2017-12-19,4.062272304169735
2017-12-20,3.9391972264525896
2017-12-21,4.146583118648119
2017-12-22,4.098054866262667
2017-12-23,3.911698573494224
2017-12-24,4.205021315170584
2017-12-25,4.190997330938893
2017-12-26,4.298816912283227
2017-12-27,4.191717368641641
2017-12-28,4.155603923836042
2017-12-29,4.157591018380022
2017-12-30,4.1232567930160045
2017-12-31,3.4413861471649603
2018-01-01,4.087006734810137
2018-01-02,4.209358042822048
2018-01-03,4.124689455851791
2018-01-04,4.11041094072114
2018-01-05,3.672834597488793
2018-01-06,3.719881197581662
2018-01-07,3.724789631231129
2018-01-08,3.8518885397106937
2018-01-09,4.0170686275318745
2018-01-10,2.926739398673244
2018-01-11,3.83289597046009
2018-01-12,2.5967525026085823
2018-01-13,3.588349200704048
2018-01-14,4.393937916499937
2018-01-15,4.209469328659156
2018-01-16,3.903907615897891
2018-01-17,3.4934984726983
2018-01-18,4.212963798305442
2018-01-19,4.2587777099714845
2018-01-20,4.307074937424294
2018-01-21,4.267993969499511
2018-01-22,4.413361699788503
2018-01-23,3.165995481935021
2018-01-24,4.127964100268158
2018-01-25,4.1719441161981
2018-01-26,3.946840215254712
2018-01-27,4.428501203291224
2018-01-28,3.908573288108303
2018-01-29,3.153521276917165
2018-01-30,4.557924546246861
2018-01-31,4.698610731018802
2018-02-01,4.607472958071968
2018-02-02,4.5756140484952335
2018-02-03,4.697591133403439
2018-02-04,4.7800083728222775
2018-02-05,4.834429188176589
2018-02-06,4.715486069799968
2018-02-07,4.158925833532398
2018-02-08,4.014682060878952
2018-02-09,4.250089785641018
2018-02-10,4.472471789623265
2018-02-11,4.402614709313214
2018-02-12,3.474726979005167
2018-02-13,4.407224179499445
2018-02-14,4.757961868504801
2018-02-15,4.5569389615382665
2018-02-16,4.621137453355873
2018-02-17,4.647817539634611
2018-02-18,4.928488053886563
2018-02-19,5.2567179384041225
2018-02-20,4.966012363104342
2018-02-21,4.741448440454516
2018-02-22,3.3337221364866885
2018-02-23,4.759184507498494
2018-02-24,5.012644452811284
2018-02-25,5.075592327774135
2018-02-26,4.9018771304337925
2018-02-27,5.246370277124294
2018-02-28,5.122257141637457
2018-03-01,4.837668298047412
2018-03-02,5.246374474580875
2018-03-03,5.2170643499457245
2018-03-04,5.095292561769439
2018-03-05,5.058737413842261
2018-03-06,5.092377951766006
2018-03-07,5.0843555934496285
2018-03-08,5.011476889012005
2018-03-09,5.2038354866570975
2018-03-10,3.964248085393301
2018-03-11,5.7011068035228485
2018-03-12,5.856981188992952
2018-03-13,3.81251149673852
2018-03-14,3.761877219384759
2018-03-15,4.565660143750764
2018-03-16,4.3674710397566585
2018-03-17,3.4290277196608927
2018-03-18,3.62428472917664
2018-03-19,4.9470256738361575
2018-03-20,5.681348396078214
2018-03-21,6.337471417869737
2018-03-22,6.043309236407696
2018-03-23,4.160980599267843
2018-03-24,4.94916565688668
2018-03-25,5.3277677593079
2018-03-26,3.870230212111436
2018-03-27,5.892485390907102
2018-03-28,5.563158059313861
2018-03-29,5.520885055435724
2018-03-30,5.862682569012132
2018-03-31,5.341230780287694
2018-04-01,4.182666019572866
2018-04-02,5.204630643155592
2018-04-03,3.304789172637599
2018-04-04,3.6887207698783926
2018-04-05,5.341330017403375
2018-04-06,5.488659186559549
2018-04-07,5.668580109249329
2018-04-08,5.714230427329157
2018-04-09,5.108816862199717
2018-04-10,5.540905056098038
2018-04-11,4.01094661188566
2018-04-12,4.076043674893671
2018-04-13,4.304987818666558
2018-04-14,4.475499810964624
2018-04-15,3.925995710837478
2018-04-16,5.426313159240892
2018-04-17,5.238483714349418
2018-04-18,4.293168143223396
2018-04-19,5.202096861955839
2018-04-20,4.458564033380573
2018-04-21,4.181111212361014
2018-04-22,4.061436283434668
2018-04-23,5.663355046858932
2018-04-24,4.3596855048322585
2018-04-25,4.353630657019691
2018-04-26,4.128784920975536
2018-04-27,4.225519197836601
